['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
114.0 , 3954.35897436 , 4388.20512821 , 4319.48717949 , 4171.79487179 , 4340.51282051 , 4537.94871795 , 4390.25641026 , 4174.87179487 , 4356.41025641 , 3818.46153846 , 3793.84615385 , 4259.48717949 , 4169.74358974 , 4315.8974359 , 1660.0 , 1696.0 , 10.311 , 0.0 , 0.0 , 0.0 , 0.0 , 

115.0 , 3958.97435897 , 4391.79487179 , 4305.64102564 , 4173.33333333 , 4338.97435897 , 4537.43589744 , 4393.33333333 , 4173.84615385 , 4352.30769231 , 3818.46153846 , 3787.69230769 , 4248.71794872 , 4169.23076923 , 4321.02564103 , 1661.0 , 1698.0 , 10.327 , 0.0 , 0.0 , 0.0 , 0.0 , 

116.0 , 3959.48717949 , 4395.38461538 , 4302.56410256 , 4174.35897436 , 4340.0 , 4540.51282051 , 4387.17948718 , 4175.38461538 , 4352.30769231 , 3818.46153846 , 3786.66666667 , 4240.0 , 4171.28205128 , 4321.02564103 , 1659.0 , 1697.0 , 10.327 , 0.0 , 0.0 , 0.0 , 0.0 , 

117.0 , 3964.1025641 , 4408.71794872 , 4292.82051282 , 4174.87179487 , 4343.07692308 , 4538.97435897 , 4382.05128205 , 4174.35897436 , 4358.97435897 , 3818.46153846 , 3788.71794872 , 4237.94871795 , 4175.8974359 , 4321.02564103 , 1657.0 , 1700.0 , 10.343 , 0.0 , 0.0 , 0.0 , 0.0 , 

118.0 , 3966.15384615 , 4421.02564103 , 4270.25641026 , 4177.94871795 , 4345.12820513 , 4540.0 , 4384.1025641 , 4168.20512821 , 4361.53846154 , 3818.46153846 , 3783.07692308 , 4231.79487179 , 4178.97435897 , 4323.07692308 , 1659.0 , 1698.0 , 10.343 , 0.0 , 0.0 , 0.0 , 0.0 , 

119.0 , 3966.66666667 , 4434.35897436 , 4238.97435897 , 4173.84615385 , 4343.58974359 , 4540.51282051 , 4386.15384615 , 4169.74358974 , 4356.92307692 , 3818.46153846 , 3772.82051282 , 4216.92307692 , 4183.58974359 , 4330.76923077 , 1660.0 , 1698.0 , 10.358 , 0.0 , 0.0 , 0.0 , 0.0 , 

120.0 , 3971.28205128 , 4448.20512821 , 4213.84615385 , 4167.17948718 , 4342.05128205 , 4539.48717949 , 4389.74358974 , 4177.43589744 , 4354.35897436 , 3818.46153846 , 3767.69230769 , 4204.1025641 , 4189.74358974 , 4337.43589744 , 1660.0 , 1697.0 , 10.358 , 0.0 , 0.0 , 0.0 , 0.0 , 

121.0 , 3977.94871795 , 4456.92307692 , 4194.35897436 , 4169.23076923 , 4345.64102564 , 4546.15384615 , 4393.84615385 , 4177.43589744 , 4355.8974359 , 3817.94871795 , 3764.61538462 , 4196.41025641 , 4193.84615385 , 4336.92307692 , 1659.0 , 1699.0 , 10.374 , 0.0 , 0.0 , 0.0 , 0.0 , 

122.0 , 3983.07692308 , 4468.20512821 , 4163.07692308 , 4169.23076923 , 4351.79487179 , 4555.38461538 , 4395.38461538 , 4172.30769231 , 4356.41025641 , 3818.46153846 , 3753.84615385 , 4181.53846154 , 4195.8974359 , 4334.35897436 , 1659.0 , 1698.0 , 10.374 , 0.0 , 0.0 , 0.0 , 0.0 , 

123.0 , 3979.48717949 , 4474.35897436 , 4134.35897436 , 4165.12820513 , 4352.82051282 , 4557.43589744 , 4398.46153846 , 4167.17948718 , 4359.48717949 , 3819.48717949 , 3744.1025641 , 4168.71794872 , 4194.35897436 , 4333.84615385 , 1659.0 , 1700.0 , 10.389 , 0.0 , 0.0 , 0.0 , 0.0 , 

124.0 , 3994.87179487 , 4471.79487179 , 4128.20512821 , 4163.07692308 , 4347.69230769 , 4553.33333333 , 4395.8974359 , 4166.66666667 , 4366.15384615 , 3816.92307692 , 3751.79487179 , 4172.82051282 , 4200.0 , 4340.51282051 , 1659.0 , 1697.0 , 10.389 , 0.0 , 0.0 , 0.0 , 0.0 , 

125.0 , 4028.71794872 , 4460.0 , 4141.02564103 , 4153.33333333 , 4335.8974359 , 4541.53846154 , 4376.41025641 , 4184.1025641 , 4369.23076923 , 3819.48717949 , 3776.41025641 , 4187.17948718 , 4212.82051282 , 4348.71794872 , 1658.0 , 1696.0 , 10.405 , 0.0 , 0.0 , 0.0 , 0.0 , 

126.0 , 4036.41025641 , 4424.1025641 , 4196.41025641 , 4141.53846154 , 4323.58974359 , 4517.94871795 , 4350.25641026 , 4203.07692308 , 4368.71794872 , 3828.71794872 , 3807.69230769 , 4217.43589744 , 4208.71794872 , 4342.05128205 , 1658.0 , 1698.0 , 10.405 , 0.0 , 0.0 , 0.0 , 0.0 , 

127.0 , 3996.41025641 , 4349.23076923 , 4355.8974359 , 4172.82051282 , 4313.33333333 , 4492.30769231 , 4323.58974359 , 4195.38461538 , 4368.20512821 , 3827.17948718 , 3850.76923077 , 4304.1025641 , 4175.8974359 , 4317.94871795 , 1660.0 , 1699.0 , 10.421 , 0.0 , 0.0 , 0.0 , 0.0 , 

128.0 , 3948.71794872 , 4274.87179487 , 4561.53846154 , 4234.35897436 , 4304.1025641 , 4479.48717949 , 4310.76923077 , 4173.33333333 , 4360.51282051 , 3817.94871795 , 3891.79487179 , 4412.30769231 , 4137.94871795 , 4298.46153846 , 1659.0 , 1700.0 , 10.421 , 0.0 , 0.0 , 0.0 , 0.0 , 

0.0 , 3926.66666667 , 4277.94871795 , 4621.02564103 , 4260.0 , 4312.82051282 , 4493.84615385 , 4343.07692308 , 4158.97435897 , 4347.17948718 , 3817.94871795 , 3876.92307692 , 4418.97435897 , 4125.12820513 , 4294.87179487 , 1660.0 , 1699.0 , 10.436 , 0.0 , 0.0 , 0.0 , 0.0 , 

1.0 , 3933.84615385 , 4353.84615385 , 4491.28205128 , 4243.58974359 , 4342.05128205 , 4532.82051282 , 4398.46153846 , 4159.48717949 , 4344.1025641 , 3820.0 , 3812.82051282 , 4321.02564103 , 4145.12820513 , 4301.02564103 , 1657.0 , 1697.0 , 10.436 , 0.0 , 0.0 , 0.0 , 0.0 , 

2.0 , 3944.61538462 , 4406.15384615 , 4365.64102564 , 4231.28205128 , 4361.02564103 , 4560.0 , 4427.17948718 , 4162.56410256 , 4344.1025641 , 3814.87179487 , 3773.33333333 , 4254.87179487 , 4166.66666667 , 4312.82051282 , 1659.0 , 1698.0 , 10.452 , 0.0 , 0.0 , 0.0 , 0.0 , 

3.0 , 3915.38461538 , 4364.61538462 , 4434.87179487 , 4264.61538462 , 4349.23076923 , 4549.74358974 , 4419.48717949 , 4150.76923077 , 4334.35897436 , 3812.30769231 , 3792.82051282 , 4310.76923077 , 4147.69230769 , 4309.23076923 , 1659.0 , 1698.0 , 10.452 , 0.0 , 0.0 , 0.0 , 0.0 , 
